,year,region,deaths
679,1997,Glasgow City,203
680,1998,Glasgow City,225
681,1999,Glasgow City,257
682,2000,Glasgow City,256
683,2001,Glasgow City,290
684,2002,Glasgow City,304
685,2003,Glasgow City,309
686,2004,Glasgow City,286
687,2005,Glasgow City,270
688,2006,Glasgow City,334
689,2007,Glasgow City,268
690,2008,Glasgow City,259
691,2009,Glasgow City,189
692,2010,Glasgow City,203
693,2011,Glasgow City,224
694,2012,Glasgow City,184
695,2013,Glasgow City,179
696,2014,Glasgow City,168
697,2015,Glasgow City,166
698,2016,Glasgow City,187
699,2017,Glasgow City,186
700,2018,Glasgow City,146
701,2019,Glasgow City,143
702,2020,Glasgow City,163
703,2021,Glasgow City,188
704,2022,Glasgow City,202
705,1979,Highland,8
706,1980,Highland,16
707,1981,Highland,13
708,1982,Highland,21
709,1983,Highland,22
710,1984,Highland,18
711,1985,Highland,18
712,1986,Highland,16
713,1987,Highland,17
714,1988,Highland,25
715,1989,Highland,17
716,1990,Highland,8
717,1991,Highland,26
718,1992,Highland,18
719,1993,Highland,21
720,1994,Highland,32
721,1995,Highland,37
722,1996,Highland,30
723,1997,Highland,39
724,1998,Highland,32
725,1999,Highland,39
726,2000,Highland,58
727,2001,Highland,43
728,2002,Highland,57
729,2003,Highland,48
730,2004,Highland,58
731,2005,Highland,56
732,2006,Highland,73
733,2007,Highland,64
734,2008,Highland,60
735,2009,Highland,62
736,2010,Highland,66
737,2011,Highland,50
738,2012,Highland,47
739,2013,Highland,55
740,2014,Highland,37
741,2015,Highland,49
742,2016,Highland,64
743,2017,Highland,58
744,2018,Highland,54
745,2019,Highland,51
746,2020,Highland,60
747,2021,Highland,61
748,2022,Highland,66
749,1979,Inverclyde,12
750,1980,Inverclyde,9
751,1981,Inverclyde,11
752,1982,Inverclyde,11
753,1983,Inverclyde,9
754,1984,Inverclyde,11
755,1985,Inverclyde,11
756,1986,Inverclyde,5
757,1987,Inverclyde,8
758,1988,Inverclyde,9
759,1989,Inverclyde,6
760,1990,Inverclyde,21
761,1991,Inverclyde,12
762,1992,Inverclyde,9
763,1993,Inverclyde,7
764,1994,Inverclyde,20
765,1995,Inverclyde,21
766,1996,Inverclyde,30
767,1997,Inverclyde,26
768,1998,Inverclyde,35
769,1999,Inverclyde,37
770,2000,Inverclyde,29
771,2001,Inverclyde,52
772,2002,Inverclyde,48
773,2003,Inverclyde,39
774,2004,Inverclyde,32
775,2005,Inverclyde,28
776,2006,Inverclyde,41
777,2007,Inverclyde,38
778,2008,Inverclyde,41
779,2009,Inverclyde,30
780,2010,Inverclyde,33
781,2011,Inverclyde,30
782,2012,Inverclyde,22
783,2013,Inverclyde,18
784,2014,Inverclyde,27
785,2015,Inverclyde,30
786,2016,Inverclyde,27
787,2017,Inverclyde,24
788,2018,Inverclyde,22
789,2019,Inverclyde,31
790,2020,Inverclyde,32
791,2021,Inverclyde,26
792,2022,Inverclyde,28
793,1979,Midlothian,2
794,1980,Midlothian,1
795,1981,Midlothian,4
796,1982,Midlothian,5
797,1983,Midlothian,6
798,1984,Midlothian,6
799,1985,Midlothian,5
800,1986,Midlothian,5
801,1987,Midlothian,2
802,1988,Midlothian,6
803,1989,Midlothian,7
804,1990,Midlothian,2
805,1991,Midlothian,4
806,1992,Midlothian,7
807,1993,Midlothian,5
808,1994,Midlothian,2
809,1995,Midlothian,9
810,1996,Midlothian,9
811,1997,Midlothian,11
